"time_hour";"carrier";"flight";"tailnum";"origin";"dest";"hora_prevista_partida";"hora_prevista_chegada";"hora_partida";"hora_chegada"
2013-01-02 07:00:00;"DL";1865;"N711ZX";"JFK";"SFO";"7:00";"10:45";"6:54";"9:46"
2013-01-02 07:00:00;"UA";223;"N517UA";"JFK";"SFO";"7:15";"11:12";"7:15";"10:47"
2013-01-02 07:00:00;"VX";11;"N847VA";"JFK";"SFO";"7:30";"11:15";"7:24";"10:39"
2013-01-02 07:00:00;"B6";643;"N804JB";"JFK";"SFO";"7:37";"11:13";"7:33";"10:43"
2013-01-02 07:00:00;"AA";59;"N325AA";"JFK";"SFO";"7:45";"11:25";"7:39";"11:16"
2013-01-02 07:00:00;"UA";1668;"N37287";"EWR";"SFO";"7:46";"11:29";"7:45";"11:18"
2013-01-02 08:00:00;"UA";397;"N554UA";"JFK";"SFO";"8:00";"11:44";"8:39";"12:05"
2013-01-02 08:00:00;"UA";974;"N563UA";"EWR";"SFO";"8:23";"11:58";"8:58";"12:46"
2013-01-02 10:00:00;"DL";1765;"N707TW";"JFK";"SFO";"10:00";"13:41";"9:55";"13:36"
2013-01-02 10:00:00;"VX";23;"N855VA";"JFK";"SFO";"10:30";"14:15";"10:28";"13:45"
2013-01-02 10:00:00;"UA";460;"N526UA";"EWR";"SFO";"10:47";"14:05";"10:48";"13:21"
2013-01-02 11:00:00;"B6";641;"N784JB";"JFK";"SFO";"11:00";"14:31";"10:57";"13:43"
2013-01-02 11:00:00;"UA";642;"N557UA";"JFK";"SFO";"11:00";"14:38";"11:00";"14:08"
2013-01-02 12:00:00;"VX";25;"N846VA";"JFK";"SFO";"12:00";"15:45";"12:01";"15:04"
2013-01-02 12:00:00;"UA";391;"N586UA";"EWR";"SFO";"12:18";"15:29";"12:20";"15:21"
2013-01-02 14:00:00;"UA";257;"N518UA";"JFK";"SFO";"14:29";"18:03";"14:16";"17:36"
2013-01-02 14:00:00;"DL";1322;"N721TW";"JFK";"SFO";"14:35";"18:20";"14:30";"17:54"
2013-01-02 15:00:00;"AA";85;"N344AA";"JFK";"SFO";"15:30";"19:10";"15:30";"18:59"
2013-01-02 10:00:00;"AA";179;"N324AA";"JFK";"SFO";"10:30";"13:55";"16:07";"20:03"
2013-01-02 15:00:00;"UA";315;"N541UA";"EWR";"SFO";"15:16";"18:25";"16:18";"19:13"
2013-01-02 16:00:00;"VX";27;"N836VA";"JFK";"SFO";"16:30";"20:20";"16:28";"19:50"
2013-01-02 17:00:00;"DL";31;"N727TW";"JFK";"SFO";"17:00";"20:49";"16:55";"20:26"
2013-01-02 17:00:00;"UA";512;"N502UA";"JFK";"SFO";"17:29";"21:00";"17:30";"20:39"
2013-01-02 17:00:00;"AA";177;"N323AA";"JFK";"SFO";"17:45";"21:20";"17:55";"21:11"
2013-01-02 17:00:00;"UA";979;"N421UA";"EWR";"SFO";"17:25";"21:02";"18:13";"21:49"
2013-01-02 18:00:00;"UA";389;"N508UA";"JFK";"SFO";"18:45";"22:26";"18:44";"22:36"
2013-01-02 18:00:00;"VX";29;"N628VA";"JFK";"SFO";"18:50";"22:40";"18:49";"22:29"
2013-01-02 19:00:00;"UA";1059;"N73299";"EWR";"SFO";"19:10";"22:52";"19:08";"22:27"
2013-01-02 19:00:00;"DL";853;"N723TW";"JFK";"SFO";"19:00";"23:01";"19:37";"23:01"
2013-01-02 19:00:00;"B6";645;"N568JB";"JFK";"SFO";"19:45";"23:29";"20:02";"22:56"
2013-01-02 20:00:00;"UA";299;"N539UA";"EWR";"SFO";"20:22";"23:56";"20:53";"23:31"
2013-01-03 06:00:00;"UA";303;"N517UA";"JFK";"SFO";"6:00";"9:25";"6:04";"8:52"
2013-01-03 06:00:00;"UA";1528;"N37408";"EWR";"SFO";"6:25";"9:54";"6:34";"9:50"
2013-01-03 07:00:00;"DL";1865;"N718TW";"JFK";"SFO";"7:00";"10:45";"6:53";"10:18"
2013-01-03 07:00:00;"UA";799;"N525UA";"JFK";"SFO";"7:15";"10:40";"7:16";"10:50"
2013-01-03 07:00:00;"VX";11;"N836VA";"JFK";"SFO";"7:30";"11:15";"7:28";"10:38"
2013-01-03 07:00:00;"AA";59;"N324AA";"JFK";"SFO";"7:45";"11:25";"7:42";"10:49"
2013-01-03 07:00:00;"B6";643;"N524JB";"JFK";"SFO";"7:37";"11:13";"7:42";"10:38"
2013-01-03 07:00:00;"UA";397;"N554UA";"JFK";"SFO";"7:59";"11:24";"7:58";"11:14"
2013-01-03 08:00:00;"UA";1517;"N77261";"EWR";"SFO";"8:35";"12:15";"8:37";"11:50"
2013-01-03 10:00:00;"DL";1765;"N703TW";"JFK";"SFO";"10:00";"13:41";"9:57";"13:12"
2013-01-03 10:00:00;"AA";179;"N339AA";"JFK";"SFO";"10:30";"13:55";"10:26";"13:12"
2013-01-03 10:00:00;"VX";23;"N855VA";"JFK";"SFO";"10:30";"14:15";"10:26";"13:23"
2013-01-03 10:00:00;"UA";1298;"N76288";"EWR";"SFO";"10:59";"14:31";"10:59";"13:44"
2013-01-03 11:00:00;"UA";642;"N555UA";"JFK";"SFO";"11:00";"14:25";"11:00";"14:07"
2013-01-03 11:00:00;"B6";641;"N625JB";"JFK";"SFO";"11:00";"14:31";"11:04";"13:52"
2013-01-03 12:00:00;"VX";25;"N847VA";"JFK";"SFO";"12:00";"15:45";"11:53";"14:42"
2013-01-03 14:00:00;"UA";257;"N508UA";"JFK";"SFO";"14:29";"17:54";"14:25";"17:11"
2013-01-03 14:00:00;"DL";2126;"N713TW";"JFK";"SFO";"14:30";"18:15";"14:53";"17:54"
2013-01-03 14:00:00;"UA";1054;"N12238";"EWR";"SFO";"14:57";"18:23";"14:59";"17:57"
2013-01-03 12:00:00;"UA";551;"N835UA";"EWR";"SFO";"12:21";"15:55";"15:03";"18:03"
2013-01-03 16:00:00;"VX";27;"N851VA";"JFK";"SFO";"16:30";"20:20";"16:45";"19:47"
2013-01-03 17:00:00;"DL";31;"N723TW";"JFK";"SFO";"17:00";"20:49";"16:58";"20:19"
2013-01-03 17:00:00;"UA";512;"N518UA";"JFK";"SFO";"17:25";"20:50";"17:25";"20:24"
2013-01-03 17:00:00;"UA";1418;"N33103";"EWR";"SFO";"17:10";"20:36";"17:28";"20:03"
2013-01-03 15:00:00;"AA";85;"N357AA";"JFK";"SFO";"15:30";"19:10";"18:21";"21:31"
2013-01-03 17:00:00;"AA";177;"N332AA";"JFK";"SFO";"17:45";"21:20";"18:50";"21:48"
2013-01-03 19:00:00;"DL";1465;"N722TW";"JFK";"SFO";"19:00";"23:01";"18:57";"22:00"
2013-01-03 18:00:00;"VX";29;"N640VA";"JFK";"SFO";"18:50";"22:40";"19:14";"22:07"
2013-01-03 18:00:00;"UA";272;"N505UA";"JFK";"SFO";"18:30";"22:02";"19:15";"22:12"
2013-01-03 19:00:00;"UA";1139;"N79279";"EWR";"SFO";"19:05";"22:35";"19:24";"22:08"
2013-01-03 19:00:00;"B6";645;"N793JB";"JFK";"SFO";"19:45";"23:29";"19:57";"22:32"
2013-01-04 06:00:00;"UA";303;"N557UA";"JFK";"SFO";"6:00";"9:25";"5:59";"9:02"
2013-01-04 06:00:00;"UA";421;"N824UA";"EWR";"SFO";"6:35";"10:02";"6:36";"9:11"
2013-01-04 07:00:00;"UA";799;"N525UA";"JFK";"SFO";"7:15";"10:40";"7:08";"10:35"
2013-01-04 07:00:00;"DL";1865;"N703TW";"JFK";"SFO";"7:00";"10:45";"7:19";"11:02"
2013-01-04 07:00:00;"VX";11;"N854VA";"JFK";"SFO";"7:30";"11:15";"7:27";"10:25"
2013-01-04 07:00:00;"B6";643;"N766JB";"JFK";"SFO";"7:37";"11:13";"7:35";"10:30"
2013-01-04 07:00:00;"AA";59;"N339AA";"JFK";"SFO";"7:45";"11:25";"7:46";"11:06"
2013-01-04 07:00:00;"UA";397;"N532UA";"JFK";"SFO";"7:59";"11:24";"7:59";"11:20"
2013-01-04 08:00:00;"UA";1480;"N36207";"EWR";"SFO";"8:30";"12:10";"8:29";"11:13"
2013-01-04 10:00:00;"DL";1765;"N717TW";"JFK";"SFO";"10:00";"13:41";"9:53";"13:21"
2013-01-04 10:00:00;"VX";23;"N855VA";"JFK";"SFO";"10:30";"14:15";"10:26";"13:05"
2013-01-04 10:00:00;"AA";179;"N324AA";"JFK";"SFO";"10:30";"13:55";"10:31";"13:43"
2013-01-04 11:00:00;"UA";642;"N518UA";"JFK";"SFO";"11:00";"14:25";"10:53";"13:49"
2013-01-04 11:00:00;"B6";641;"N705JB";"JFK";"SFO";"11:00";"14:31";"10:57";"14:14"
2013-01-04 11:00:00;"UA";1298;"N87513";"EWR";"SFO";"11:00";"14:32";"11:00";"13:43"
2013-01-04 12:00:00;"VX";25;"N836VA";"JFK";"SFO";"12:00";"15:45";"12:05";"15:00"
2013-01-04 12:00:00;"UA";551;"N830UA";"EWR";"SFO";"12:21";"15:55";"12:19";"14:54"
2013-01-04 14:00:00;"UA";257;"N554UA";"JFK";"SFO";"14:30";"17:55";"14:23";"17:32"
2013-01-04 14:00:00;"DL";2126;"N624AG";"JFK";"SFO";"14:30";"18:15";"14:36";"17:57"
2013-01-04 14:00:00;"UA";595;"N436UA";"EWR";"SFO";"14:57";"18:21";"15:27";"18:20"
2013-01-04 15:00:00;"AA";85;"N373AA";"JFK";"SFO";"15:30";"19:10";"16:22";"19:25"
2013-01-04 16:00:00;"VX";27;"N849VA";"JFK";"SFO";"16:30";"20:20";"16:37";"19:33"
2013-01-04 17:00:00;"DL";31;"N722TW";"JFK";"SFO";"17:00";"20:49";"16:57";"19:52"
2013-01-04 17:00:00;"UA";512;"N508UA";"JFK";"SFO";"17:25";"20:50";"17:23";"20:13"
2013-01-04 17:00:00;"UA";1739;"N14102";"EWR";"SFO";"17:10";"20:36";"18:12";"21:48"
2013-01-04 18:00:00;"UA";272;"N505UA";"JFK";"SFO";"18:30";"22:02";"18:30";"21:29"
2013-01-04 19:00:00;"UA";1127;"N12216";"EWR";"SFO";"19:05";"22:35";"19:01";"22:11"
2013-01-04 18:00:00;"VX";29;"N632VA";"JFK";"SFO";"18:50";"22:40";"19:07";"22:04"
2013-01-04 19:00:00;"DL";1465;"N723TW";"JFK";"SFO";"19:00";"23:01";"19:35";"22:55"
2013-01-04 19:00:00;"B6";645;"N637JB";"JFK";"SFO";"19:45";"23:29";"19:42";"22:49"
2013-01-04 17:00:00;"AA";177;"N332AA";"JFK";"SFO";"17:45";"21:20";"20:10";"22:57"
2013-01-05 06:00:00;"UA";303;"N512UA";"JFK";"SFO";"6:00";"9:27";"6:02";"9:09"
2013-01-05 06:00:00;"UA";726;"N840UA";"EWR";"SFO";"6:33";"10:04";"6:30";"9:46"
2013-01-05 07:00:00;"DL";1865;"N713TW";"JFK";"SFO";"7:00";"10:45";"6:56";"10:56"
2013-01-05 07:00:00;"UA";799;"N525UA";"JFK";"SFO";"7:30";"11:00";"7:25";"11:10"
2013-01-05 07:00:00;"VX";11;"N855VA";"JFK";"SFO";"7:30";"11:15";"7:28";"11:27"
2013-01-05 07:00:00;"B6";643;"N784JB";"JFK";"SFO";"7:37";"11:13";"7:37";"11:22"
2013-01-05 07:00:00;"AA";59;"N324AA";"JFK";"SFO";"7:45";"11:25";"7:44";"11:41"
2013-01-05 08:00:00;"UA";344;"N482UA";"EWR";"SFO";"8:34";"12:10";"8:38";"11:56"
2013-01-05 11:00:00;"UA";642;"N508UA";"JFK";"SFO";"11:00";"14:25";"10:57";"14:04"
2013-01-05 10:00:00;"AA";179;"N327AA";"JFK";"SFO";"10:30";"13:55";"11:22";"14:44"
2013-01-05 10:00:00;"UA";1120;"N17229";"EWR";"SFO";"10:59";"14:31";"11:41";"14:42"
2013-01-05 12:00:00;"VX";25;"N836VA";"JFK";"SFO";"12:00";"15:45";"12:14";"15:33"
2013-01-05 12:00:00;"UA";1195;"N18223";"EWR";"SFO";"12:00";"15:33";"13:51";"17:07"
2013-01-05 14:00:00;"UA";394;"N555UA";"JFK";"SFO";"14:30";"17:55";"14:28";"17:47"
2013-01-05 14:00:00;"DL";2126;"N712TW";"JFK";"SFO";"14:30";"18:15";"14:44";"17:51"
2013-01-05 15:00:00;"AA";85;"N385AA";"JFK";"SFO";"15:30";"19:10";"15:39";"19:08"
2013-01-05 15:00:00;"UA";1527;"N76503";"EWR";"SFO";"15:29";"18:57";"15:59";"19:21"
2013-01-05 16:00:00;"VX";27;"N849VA";"JFK";"SFO";"16:30";"20:20";"16:23";"20:10"
2013-01-05 17:00:00;"DL";31;"N723TW";"JFK";"SFO";"17:00";"20:49";"17:00";"20:28"
2013-01-05 17:00:00;"UA";1139;"N34131";"EWR";"SFO";"17:30";"21:02";"17:29";"20:36"
2013-01-05 17:00:00;"UA";512;"N505UA";"JFK";"SFO";"17:25";"20:55";"17:31";"20:45"
2013-01-05 18:00:00;"VX";29;"N623VA";"JFK";"SFO";"18:50";"22:40";"18:56";"22:33"
2013-01-05 19:00:00;"DL";1465;"N721TW";"JFK";"SFO";"19:00";"23:01";"18:59";"22:53"
2013-01-05 19:00:00;"UA";1417;"N54241";"EWR";"SFO";"19:29";"23:01";"19:28";"22:49"
2013-01-06 05:00:00;"UA";691;"N512UA";"JFK";"SFO";"5:59";"9:30";"5:55";"9:30"
2013-01-06 06:00:00;"UA";421;"N811UA";"EWR";"SFO";"6:35";"10:00";"6:28";"9:26"
2013-01-06 07:00:00;"DL";1865;"N712TW";"JFK";"SFO";"7:00";"10:45";"6:55";"10:12"
2013-01-06 07:00:00;"VX";11;"N836VA";"JFK";"SFO";"7:30";"11:15";"7:30";"10:53"
2013-01-06 07:00:00;"AA";59;"N323AA";"JFK";"SFO";"7:45";"11:25";"7:43";"11:19"
2013-01-06 07:00:00;"B6";643;"N705JB";"JFK";"SFO";"7:37";"11:13";"7:49";"11:13"
2013-01-06 08:00:00;"UA";397;"N517UA";"JFK";"SFO";"8:00";"11:25";"7:55";"11:19"
2013-01-06 08:00:00;"UA";665;"N805UA";"EWR";"SFO";"8:19";"12:03";"8:12";"11:02"
2013-01-06 10:00:00;"DL";1765;"N727TW";"JFK";"SFO";"10:00";"13:41";"10:00";"13:25"
2013-01-06 10:00:00;"AA";179;"N335AA";"JFK";"SFO";"10:30";"13:55";"10:21";"13:28"
2013-01-06 10:00:00;"VX";23;"N844VA";"JFK";"SFO";"10:30";"14:15";"10:35";"13:54"
2013-01-06 11:00:00;"UA";642;"N508UA";"JFK";"SFO";"11:00";"14:25";"10:53";"13:53"
2013-01-06 10:00:00;"UA";1298;"N77525";"EWR";"SFO";"10:59";"14:38";"11:00";"13:59"
2013-01-06 11:00:00;"B6";641;"N571JB";"JFK";"SFO";"11:00";"14:31";"11:16";"14:45"
2013-01-06 12:00:00;"UA";73;"N79279";"EWR";"SFO";"12:00";"15:29";"12:00";"15:14"
2013-01-06 12:00:00;"VX";25;"N847VA";"JFK";"SFO";"12:00";"15:45";"12:02";"15:15"
2013-01-06 14:00:00;"UA";560;"N518UA";"JFK";"SFO";"14:30";"17:55";"14:26";"17:33"
2013-01-06 14:00:00;"DL";2126;"N713TW";"JFK";"SFO";"14:30";"18:15";"14:39";"17:56"
2013-01-06 15:00:00;"AA";85;"N364AA";"JFK";"SFO";"15:30";"19:10";"16:09";"19:36"
2013-01-06 15:00:00;"UA";1111;"N31412";"EWR";"SFO";"15:15";"18:44";"16:09";"19:06"
2013-01-06 16:00:00;"VX";27;"N849VA";"JFK";"SFO";"16:30";"20:20";"16:30";"19:58"
2013-01-06 17:00:00;"DL";31;"N721TW";"JFK";"SFO";"17:00";"20:49";"17:00";"20:19"
2013-01-06 17:00:00;"UA";512;"N532UA";"JFK";"SFO";"17:25";"20:50";"17:20";"20:37"
2013-01-06 17:00:00;"UA";1284;"N14107";"EWR";"SFO";"17:06";"20:38";"17:32";"20:55"
2013-01-06 17:00:00;"AA";177;"N325AA";"JFK";"SFO";"17:45";"21:20";"17:49";"21:25"
2013-01-06 18:00:00;"UA";272;"N505UA";"JFK";"SFO";"18:30";"22:02";"18:29";"21:41"
2013-01-06 18:00:00;"VX";29;"N625VA";"JFK";"SFO";"18:50";"22:40";"18:51";"22:05"
2013-01-06 19:00:00;"DL";1465;"N723TW";"JFK";"SFO";"19:00";"23:01";"19:00";"22:20"
2013-01-06 19:00:00;"B6";645;"N779JB";"JFK";"SFO";"19:45";"23:29";"19:42";"22:52"
2013-01-06 19:00:00;"UA";1482;"N75425";"EWR";"SFO";"19:45";"23:16";"19:56";"22:47"
2013-01-07 06:00:00;"UA";303;"N555UA";"JFK";"SFO";"6:00";"9:25";"5:56";"9:08"
2013-01-07 06:00:00;"UA";421;"N849UA";"EWR";"SFO";"6:35";"10:02";"6:32";"9:25"
2013-01-07 07:00:00;"DL";1865;"N704X";"JFK";"SFO";"7:00";"10:45";"7:00";"9:59"
2013-01-07 07:00:00;"UA";799;"N554UA";"JFK";"SFO";"7:15";"10:40";"7:08";"10:48"
2013-01-07 07:00:00;"VX";11;"N847VA";"JFK";"SFO";"7:30";"11:15";"7:29";"10:29"
2013-01-07 07:00:00;"AA";59;"N320AA";"JFK";"SFO";"7:45";"11:25";"7:41";"10:41"
2013-01-07 07:00:00;"B6";643;"N763JB";"JFK";"SFO";"7:47";"11:26";"7:45";"11:01"
2013-01-07 08:00:00;"UA";397;"N557UA";"JFK";"SFO";"8:00";"11:25";"7:59";"11:00"
2013-01-07 08:00:00;"UA";1480;"N33294";"EWR";"SFO";"8:35";"12:15";"8:34";"11:43"
2013-01-07 10:00:00;"DL";1765;"N703TW";"JFK";"SFO";"10:00";"13:41";"9:57";"13:02"
2013-01-07 10:00:00;"AA";179;"N325AA";"JFK";"SFO";"10:30";"13:55";"10:21";"13:11"
2013-01-07 10:00:00;"B6";641;"N705JB";"JFK";"SFO";"10:31";"14:03";"10:26";"13:35"
2013-01-07 10:00:00;"VX";23;"N844VA";"JFK";"SFO";"10:30";"14:15";"10:28";"13:29"
2013-01-07 11:00:00;"UA";642;"N532UA";"JFK";"SFO";"11:00";"14:25";"11:00";"14:15"
2013-01-07 12:00:00;"VX";25;"N841VA";"JFK";"SFO";"12:00";"15:45";"12:02";"15:08"
2013-01-07 12:00:00;"UA";551;"N487UA";"EWR";"SFO";"12:21";"15:55";"12:26";"15:19"
2013-01-07 11:00:00;"UA";1120;"N78511";"EWR";"SFO";"11:00";"14:32";"12:44";"15:36"
2013-01-07 14:00:00;"UA";257;"N517UA";"JFK";"SFO";"14:29";"17:54";"14:29";"17:33"
2013-01-07 14:00:00;"DL";2126;"N705TW";"JFK";"SFO";"14:30";"18:15";"14:30";"17:49"
2013-01-07 14:00:00;"UA";1527;"N16217";"EWR";"SFO";"14:57";"18:23";"15:04";"18:13"
2013-01-07 15:00:00;"AA";85;"N373AA";"JFK";"SFO";"15:30";"19:10";"15:34";"18:50"
2013-01-07 16:00:00;"VX";27;"N836VA";"JFK";"SFO";"16:30";"20:20";"16:40";"19:52"
2013-01-07 17:00:00;"DL";31;"N723TW";"JFK";"SFO";"17:00";"20:49";"16:58";"20:17"
2013-01-07 17:00:00;"UA";1418;"N14120";"EWR";"SFO";"17:10";"20:36";"17:15";"20:28"
2013-01-07 17:00:00;"UA";512;"N518UA";"JFK";"SFO";"17:25";"20:50";"17:28";"20:56"
2013-01-07 17:00:00;"AA";177;"N324AA";"JFK";"SFO";"17:45";"21:20";"17:52";"21:07"
2013-01-07 18:00:00;"UA";272;"N505UA";"JFK";"SFO";"18:30";"22:02";"18:26";"21:43"
2013-01-07 19:00:00;"DL";1465;"N721TW";"JFK";"SFO";"19:00";"23:01";"18:59";"22:19"
2013-01-07 18:00:00;"VX";29;"N635VA";"JFK";"SFO";"18:50";"22:40";"19:01";"22:17"
2013-01-07 19:00:00;"B6";645;"N646JB";"JFK";"SFO";"19:50";"23:35";"19:53";"23:00"
2013-01-07 19:00:00;"UA";1462;"N73256";"EWR";"SFO";"19:05";"22:35";"20:38";"23:52"
2013-01-08 06:00:00;"UA";303;"N554UA";"JFK";"SFO";"6:00";"9:25";"6:13";"10:40"
2013-01-08 06:00:00;"UA";421;"N848UA";"EWR";"SFO";"6:35";"10:02";"6:41";"10:00"
2013-01-08 07:00:00;"DL";1865;"N705TW";"JFK";"SFO";"7:00";"10:45";"6:58";"10:22"
2013-01-08 07:00:00;"UA";799;"N532UA";"JFK";"SFO";"7:15";"10:40";"7:14";"10:45"
2013-01-08 07:00:00;"VX";11;"N841VA";"JFK";"SFO";"7:30";"11:15";"7:30";"10:56"
2013-01-08 07:00:00;"AA";59;"N327AA";"JFK";"SFO";"7:45";"11:25";"7:41";"10:58"
2013-01-08 08:00:00;"UA";397;"N557UA";"JFK";"SFO";"8:00";"11:25";"7:59";"11:16"
2013-01-08 08:00:00;"UA";1480;"N26215";"EWR";"SFO";"8:35";"12:15";"8:40";"11:53"
2013-01-08 10:00:00;"B6";641;"N598JB";"JFK";"SFO";"10:31";"14:03";"10:28";"13:37"
2013-01-08 10:00:00;"AA";179;"N384AA";"JFK";"SFO";"10:30";"13:55";"10:30";"13:44"
2013-01-08 10:00:00;"VX";23;"N847VA";"JFK";"SFO";"10:30";"14:15";"10:30";"13:43"
2013-01-08 11:00:00;"UA";816;"N518UA";"JFK";"SFO";"11:00";"14:25";"10:57";"14:16"
2013-01-08 11:00:00;"UA";1222;"N73259";"EWR";"SFO";"11:00";"14:32";"11:21";"14:17"
2013-01-08 12:00:00;"UA";551;"N815UA";"EWR";"SFO";"12:21";"15:55";"12:21";"15:16"
2013-01-08 12:00:00;"UA";583;"N439UA";"EWR";"SFO";"12:21";"15:55";"13:59";"17:54"
2013-01-08 14:00:00;"DL";2126;"N713TW";"JFK";"SFO";"14:30";"18:15";"14:28";"18:02"
2013-01-08 14:00:00;"UA";257;"N508UA";"JFK";"SFO";"14:29";"17:54";"14:29";"17:53"
2013-01-08 14:00:00;"UA";1527;"N77510";"EWR";"SFO";"14:57";"18:23";"14:55";"18:27"
2013-01-08 15:00:00;"AA";85;"N361AA";"JFK";"SFO";"15:30";"19:10";"15:33";"19:16"
2013-01-08 16:00:00;"VX";27;"N852VA";"JFK";"SFO";"16:30";"20:20";"16:30";"20:00"
2013-01-08 17:00:00;"DL";31;"N721TW";"JFK";"SFO";"17:00";"20:49";"16:59";"20:21"
2013-01-08 17:00:00;"UA";512;"N517UA";"JFK";"SFO";"17:25";"20:50";"17:21";"20:41"
2013-01-08 17:00:00;"UA";1418;"N48127";"EWR";"SFO";"17:10";"20:36";"17:22";"20:43"
2013-01-08 17:00:00;"AA";177;"N338AA";"JFK";"SFO";"17:45";"21:20";"17:45";"21:10"
2013-01-08 18:00:00;"UA";272;"N505UA";"JFK";"SFO";"18:30";"22:02";"18:26";"22:07"
2013-01-08 18:00:00;"VX";29;"N523VA";"JFK";"SFO";"18:50";"22:40";"18:54";"22:28"
2013-01-08 19:00:00;"DL";1465;"N702TW";"JFK";"SFO";"19:00";"23:01";"19:00";"23:01"
2013-01-08 19:00:00;"UA";1127;"N76523";"EWR";"SFO";"19:05";"22:35";"19:20";"22:43"
2013-01-08 19:00:00;"B6";645;"N583JB";"JFK";"SFO";"19:50";"23:35";"19:52";"23:27"
2013-01-09 06:00:00;"UA";303;"N532UA";"JFK";"SFO";"6:00";"9:25";"5:55";"9:50"
2013-01-09 06:00:00;"UA";1156;"N39297";"EWR";"SFO";"6:35";"10:04";"6:40";"10:32"
2013-01-09 07:00:00;"DL";1865;"N717TW";"JFK";"SFO";"7:00";"10:45";"6:55";"10:52"
2013-01-09 07:00:00;"UA";799;"N518UA";"JFK";"SFO";"7:15";"10:40";"7:14";"11:11"
2013-01-09 07:00:00;"VX";11;"N841VA";"JFK";"SFO";"7:30";"11:15";"7:28";"11:23"
2013-01-09 08:00:00;"UA";397;"N502UA";"JFK";"SFO";"8:00";"11:25";"7:56";"11:34"
2013-01-09 07:00:00;"AA";59;"N327AA";"JFK";"SFO";"7:45";"11:25";"8:05";"11:54"
2013-01-09 08:00:00;"UA";1480;"N36247";"EWR";"SFO";"8:35";"12:15";"8:30";"12:23"
